Sample,Original.label,Treatment,Time post-transplant (weeks),WBC,RBC,HGB,HCT,MCV,MCH,MCHC,PLT,MPV,RDW,Percent.Lym,Percent.Mon,Percent.Gra,Number.Lym,Number.Mon,Number.Gra,GFP
MIG.12,MB_miR BMT_MIG_1,control,9,4.3,11.8,15.9,53.3,45,13.4,29.7,661,6.4,14.9,67.3,9.6,23.1,2.9,0.4,1,NA
MIG.13,MB_miR BMT_MIG_2,control,9,6.5,12.34,16.4,55.3,45,13.3,29.6,581,6.7,14.6,66,9.2,24.8,4.3,0.6,1.6,NA
MIG.14,MB_miR BMT_MIG_3,control,9,2.4,6.37,8.5,27.9,44,13.3,30.4,191,7.8,15.8,69.9,7.1,23,1.6,0.1,0.7,NA
MIG.15,MB_miR BMT_MIG_4,control,9,7.4,11.76,16.7,54.8,47,14.2,30.5,413,6.7,15.7,63.2,9.2,27.6,4.6,0.6,2.2,NA
MIG.16,MB_miR BMT_MIG_5,control,9,4.2,11.87,15.8,52.4,44,13.3,30.2,772,6.5,15.5,52.8,10.6,36.6,2.2,0.4,1.6,NA
miR532.17,MB_miR BMT_532_1,miR-532,9,7.7,11.07,14.9,49,44,13.5,30.5,553,7.2,15.8,50.8,9.1,40.1,3.9,0.7,3.1,NA
miR532.18,MB_miR BMT_532_2,miR-532,9,6.6,12.05,16,53,44,13.3,30.2,642,6.6,14.8,64.8,8.9,26.3,4.2,0.5,1.9,NA
miR532.19,MB_miR BMT_532_3,miR-532,9,5.6,11.01,15.2,50.1,46,13.8,30.3,658,6.4,15.7,65.1,9.1,25.8,3.6,0.5,1.5,NA
miR532.20,MB_miR BMT_532_4,miR-532,9,5.4,11.53,15.8,52.5,46,13.7,30.1,797,7.1,15.9,69.9,8.5,21.6,3.7,0.4,1.3,NA
miR532.21,MB_miR BMT_532_5,miR-532,9,4.7,10.94,15.3,50.5,46,14,30.4,542,6.2,15.1,70.3,9.9,19.8,3.3,0.4,1,NA
MIG.12,MB_miR BMT_MIG_1,control,17,5.3,11.14,15.3,50.6,45,13.7,30.2,766,6.3,14.8,64.5,8.5,27,3.3,0.4,1.6,NA
MIG.13,MB_miR BMT_MIG_2,control,17,1.3,3.79,6.9,16.3,43,18.1,42,98,6.7,14.9,70.8,7,22.2,0.8,0,0.5,NA
MIG.14,MB_miR BMT_MIG_3,control,17,5.4,10.77,14.6,47.5,44,13.6,30.8,993,6.4,15.3,67.9,8.4,23.7,3.6,0.4,1.4,NA
