Sample,Original.label,Treatment,Weeks.post.transplant,WBC,RBC,HGB,HCT,MCV,MCH,MCHC,PLT,MPV,RDW,Percent.Lym,Percent.Mon,Percent.Gra,Number.Lym,Number.Mon,Number.Gra,GFP
MIG.1,BMT1.MIG (NEP cage 1/2),control,5,5.2,9.57,14.7,45.7,48,15.4,32.2,473,6.8,15.7,NA,NA,NA,2.3,0.3,2.6,85.2
MIG.2,BMT1.MIG (REP cage 1/2),control,5,3.6,9.37,14.3,43,46,15.3,33.3,605,6.5,15.5,NA,NA,NA,2.1,0.3,1.2,86.8
MIG.3,BMT1.MIG (BEP cage 2/2),control,5,6.5,9.58,14.6,44.4,46,15.3,32.9,453,6.7,15.3,NA,NA,NA,3,0.5,3,88.7
MIG.4,BMT1.MIG (REP cage 2/2),control,5,6.2,9.74,15.1,45.7,47,15.5,33.1,540,7.3,15.3,NA,NA,NA,3.6,0.5,2.1,87.8
MIG.5,BMT2.MIG (cage 2/2 BEP),control,5,4.5,9.84,14.6,45.8,46,14.9,32,631,6.5,16,NA,NA,NA,2.6,0.4,1.5,82.3
MIG.6,BMT2.MIG (cage 2/2 LEP),control,5,3,9.83,14.4,44.8,46,14.6,32.2,900,6,15.8,NA,NA,NA,1.4,0.2,1.4,82.2
MIG.7,BMT2.MIG (cage 1/2 LEP),control,5,4.4,9.53,14,43.5,46,14.7,32.2,733,6.3,16,NA,NA,NA,2.7,0.4,1.3,84.8
MIG.8,BMT2.MIG (cage 1/2 BEP),control,5,3.6,10.21,14.5,46,45,14.2,31.5,554,6.2,15.5,NA,NA,NA,2.2,0.3,1.1,89.4
MIG.9,BMT2.MIG (cage 2/2 NEP),control,5,3,10.24,14.8,46.5,45,14.4,31.8,616,6,15.4,NA,NA,NA,1.6,0.2,1.2,85.9
MIG.10,BMT2.MIG (cage 2/2 REP),control,5,3.4,9.47,14.1,44.1,47,14.8,31.9,681,6.1,15.7,NA,NA,NA,1.9,0.2,1.3,84.4
MIG.11,BMT2.MIG (cage 1/2 REP),control,5,4.3,9.57,13.6,43.3,45,14.3,31.5,815,6.2,15.9,NA,NA,NA,2.8,0.3,1.2,83.9
miR532.1,BMT2.532-OE (cage 4/4 REP),miR-532,5,4,9.85,14,44.5,45,14.2,31.4,813,6.6,15.8,NA,NA,NA,2.3,0.3,1.4,71.1
miR532.2,BMT2.532-OE (cage 3/4 LEP),miR-532,5,2,9.64,14.5,44.4,46,15,32.7,786,5.9,15.8,NA,NA,NA,0.8,0.2,1,44.8
miR532.3,BMT2.532-OE (cage 1/4 LEP),miR-532,5,3.4,10.04,14.7,46.4,46,14.7,31.7,563,6.2,15.2,NA,NA,NA,1.9,0.3,1.2,77.1
miR532.4,BMT2.532-OE (cage 2/4 LEP),miR-532,5,3.3,10.02,14.8,47.3,47,14.7,31.2,434,7.1,16,NA,NA,NA,2.1,0.3,0.9,81.5
miR532.5,BMT2.532-OE (cage 1/4 REP),miR-532,5,4.2,9.59,14.2,45,47,14.8,31.7,733,6.3,15.2,NA,NA,NA,2.6,0.3,1.3,70
miR532.6,BMT2.532-OE (cage 1/4 NEP),miR-532,5,5.1,9.66,14.2,44.4,46,14.7,31.9,449,6.3,15.7,NA,NA,NA,2.8,0.4,1.9,81.7
miR532.7,"BMT2.532-OE (cage 2/4, BEP)",miR-532,5,7.5,10.37,15.1,47.4,46,14.6,31.9,621,6.6,15,NA,NA,NA,4.3,0.6,2.6,77.1
miR532.8,BMT2.532-OE (cage 3/4 BEP),miR-532,5,5.1,8.95,13.6,43.1,48,15.2,31.5,408,6.9,17.2,NA,NA,NA,0.9,0.2,4,44.3
miR532.9,BMT2.532-OE (cage 3/4 REP),miR-532,5,3.2,9.35,13.9,43.1,46,14.9,32.3,933,6,15.6,NA,NA,NA,1.8,0.3,1.1,74.4
miR532.10,BMT2.532-OE (cage 2/4 NEP),miR-532,5,3.7,10.38,14.8,45.8,44,14.2,32.3,980,6.7,15.5,NA,NA,NA,2.8,0.3,0.6,76.6
miR532.11,BMT2.532-OE (cage 4/4 LEP),miR-532,5,4.4,9.38,13.5,42.2,45,14.4,32,574,6.6,15.2,NA,NA,NA,2.4,0.3,1.7,72.6
miR532.12,BMT2.532-OE (cage 4/4 BEP),miR-532,5,6.6,10.02,14.4,44.9,45,14.4,32.1,714,6.2,14.9,NA,NA,NA,3.3,0.5,2.8,76.5
miR532.13,BMT2.532-OE (cage 4/4 NEP),miR-532,5,5.1,9.98,14.1,45.1,45,14.1,31.2,658,6.4,15.6,NA,NA,NA,2.5,0.4,2.2,77
miR532.14,BMT2.532-OE (cage 3/4 NEP),miR-532,5,7,9.3,13.7,42.2,45,14.7,32.5,844,6.5,18,NA,NA,NA,1.1,0.3,5.6,45.2
miR532.15,BMT2.532-OE (cage 2/4 REP),miR-532,5,3,9.59,14.1,44.5,46,14.7,31.7,661,6,15.7,NA,NA,NA,1.9,0.2,0.9,71
miR532.16,BMT2.532-OE (cage 1/4 BEP),miR-532,5,4.9,9.84,14.9,45.6,46,15.1,32.6,572,6.2,15.2,NA,NA,NA,2.9,0.4,1.6,68
MIG.1,BMT1.MIG (NEP cage 1/2),control,10,5,10.84,16.4,50.4,46,15.1,32.5,614,6.4,15.3,NA,NA,NA,3.1,0.4,1.5,86.7
MIG.2,BMT1.MIG (REP cage 1/2),control,10,11.1,10.81,15.5,47.7,44,14.4,32.6,567,6.7,15.9,NA,NA,NA,4.3,0.7,6.1,87.5
MIG.3,BMT1.MIG (BEP cage 2/2),control,10,3.4,11.07,16,48,43,14.5,33.4,720,6,14.6,NA,NA,NA,2.2,0.2,1,88.9
MIG.4,BMT1.MIG (REP cage 2/2),control,10,3.8,11.22,16,49.3,44,14.3,32.5,790,6.4,15.5,NA,NA,NA,2.4,0.2,1.2,84.8
MIG.5,BMT2.MIG (cage 2/2 BEP),control,11,4.5,10.77,14.8,47,44,13.8,31.5,756,6.6,15.9,NA,NA,NA,0.5,0.3,3.7,73.6
MIG.6,BMT2.MIG (cage 2/2 LEP),control,11,6.3,10.13,14.4,44.3,44,14.2,32.6,799,6.1,15.4,NA,NA,NA,2.8,0.5,3,66.5
MIG.7,BMT2.MIG (cage 1/2 LEP),control,11,5.9,11.43,16.1,50.1,44,14.1,32.2,855,6.8,15.6,NA,NA,NA,1.2,0.8,3.9,71.7
MIG.8,BMT2.MIG (cage 1/2 BEP),control,11,2.5,11.03,15.6,48.1,44,14.2,32.5,916,6,15.5,NA,NA,NA,0.3,0.3,1.9,80.4
MIG.9,BMT2.MIG (cage 2/2 NEP),control,11,6.7,10.94,15,46.1,42,13.7,32.5,935,6.5,15.3,NA,NA,NA,2.6,0.4,3.7,90.4
MIG.10,BMT2.MIG (cage 2/2 REP),control,11,6.3,11.06,15.6,47.5,43,14.1,32.9,607,6.6,14.5,NA,NA,NA,2.7,0.5,3.1,91
MIG.11,BMT2.MIG (cage 1/2 REP),control,11,11.4,11.1,15.3,47.9,43,13.8,31.9,551,7.3,14.9,NA,NA,NA,5.3,0.9,5.2,73.6
