Sample,Original.label,Mouse ID,Mark,Cage,Transplant performed by:,Treatment,Gender,Birth Date,Transplant Date,Date of death,Weeks post-transplant at death,Status,Group,Reason for death
MIG.1,BMT1.MIG (NEP cage 1/2),NA,N,NA,Jeff Lam,control,Male,2011-08-19,2011-10-22,2012-10-04,49.71,Dead.endpoint,Control,NA
MIG.2,BMT1.MIG (REP cage 1/2),NA,R,NA,Jeff Lam,control,Male,2011-08-19,2011-10-22,2012-10-04,49.71,Dead.endpoint,Control,NA
MIG.3,BMT1.MIG (BEP cage 2/2),NA,B,NA,Jeff Lam,control,Male,2011-08-19,2011-10-22,2012-10-01,49.29,Dead.endpoint,Control,NA
MIG.4,BMT1.MIG (REP cage 2/2),NA,R,NA,Jeff Lam,control,Male,2011-08-19,2011-10-22,2012-10-01,49.29,Dead.endpoint,Control,NA
MIG.5,BMT2.MIG (cage 2/2 BEP),NA,B,NA,Jeff Lam,control,Male,2011-12-07,2011-10-22,2012-04-10,24.43,Dead.endpoint,Control,Sacrificed as control for 532-OE (cage 4/4 NEP)
MIG.6,BMT2.MIG (cage 2/2 LEP),NA,L,NA,Jeff Lam,control,Male,2011-12-07,2011-12-07,2013-02-21,63.14,Dead.endpoint,Control,NA
MIG.7,BMT2.MIG (cage 1/2 LEP),NA,L,NA,Jeff Lam,control,Male,2011-12-07,2011-12-07,,,Dead.endpoint,Control,NA
MIG.8,BMT2.MIG (cage 1/2 BEP),NA,B,NA,Jeff Lam,control,Male,2011-12-07,2011-12-07,2012-11-24,50.43,Dead.endpoint,Control,"MUD on back, score 4 (Nov 23 2012)"
MIG.9,BMT2.MIG (cage 2/2 NEP),NA,N,NA,Jeff Lam,control,Male,2011-12-07,2011-12-07,2013-03-05,64.86,Dead.endpoint,Control,Score 4 (Mar 3 2013)
MIG.10,BMT2.MIG (cage 2/2 REP),NA,R,NA,Jeff Lam,control,Male,2011-12-07,2011-12-07,2013-05-06,73.71,Dead.endpoint,Control,NA
MIG.11,BMT2.MIG (cage 1/2 REP),NA,R,NA,Jeff Lam,control,Male,2011-12-07,2011-12-07,,,Dead.endpoint,Control,NA
miR532.1,BMT2.532-OE (cage 4/4 REP),NA,R,NA,Jeff Lam,miR-532,Male,2011-12-07,2011-12-07,2012-10-21,45.57,Dead.sick,Sick.miR532,"Actively dying, sick mouse report 106-16"
miR532.2,BMT2.532-OE (cage 3/4 LEP),NA,L,NA,Jeff Lam,miR-532,Male,2011-12-07,2011-12-07,,,Dead.endpoint,Healthy.miR532,NA
miR532.3,BMT2.532-OE (cage 1/4 LEP),NA,L,NA,Jeff Lam,miR-532,Male,2011-12-07,2011-12-07,2013-02-21,63.14,Dead.endpoint,Healthy.miR532,NA
miR532.4,BMT2.532-OE (cage 2/4 LEP),NA,L,NA,Jeff Lam,miR-532,Male,2011-12-07,2011-12-07,,,Dead.endpoint,Healthy.miR532,NA
miR532.5,BMT2.532-OE (cage 1/4 REP),NA,R,NA,Jeff Lam,miR-532,Male,2011-12-07,2011-12-07,,,Dead.endpoint,Healthy.miR532,NA
miR532.6,BMT2.532-OE (cage 1/4 NEP),NA,N,NA,Jeff Lam,miR-532,Male,2011-12-07,2011-12-07,2013-04-26,72.29,Dead.endpoint,Healthy.miR532,NA
miR532.7,"BMT2.532-OE (cage 2/4, BEP)",NA,B,NA,Jeff Lam,miR-532,Male,2011-12-07,2011-12-07,2012-12-07,52.29,Dead.endpoint,Healthy.miR532,Sacrificed for secondary transplant
miR532.8,BMT2.532-OE (cage 3/4 BEP),NA,B,NA,Jeff Lam,miR-532,Male,2011-12-07,2011-12-07,,,Dead.endpoint,Healthy.miR532,NA
miR532.9,BMT2.532-OE (cage 3/4 REP),NA,R,NA,Jeff Lam,miR-532,Male,2011-12-07,2011-12-07,,,Dead.endpoint,Healthy.miR532,NA
miR532.10,BMT2.532-OE (cage 2/4 NEP),NA,N,NA,Jeff Lam,miR-532,Male,2011-12-07,2011-12-07,2012-03-21,15,Dead.sick,Sick.miR532,Sick mouse report 106-9 (March 17 2012)
miR532.11,BMT2.532-OE (cage 4/4 LEP),NA,L,NA,Jeff Lam,miR-532,Male,2011-12-07,2011-12-07,2013-03-05,64.86,Dead.endpoint,Healthy.miR532,NA
miR532.12,BMT2.532-OE (cage 4/4 BEP),NA,B,NA,Jeff Lam,miR-532,Male,2011-12-07,2011-12-07,2013-05-06,73.71,Dead.endpoint,Healthy.miR532,NA
miR532.13,BMT2.532-OE (cage 4/4 NEP),NA,N,NA,Jeff Lam,miR-532,Male,2011-12-07,2011-12-07,2012-04-10,17.86,Dead.sick,Sick.miR532,Swollen face; sick report (April 4 2012)
miR532.14,BMT2.532-OE (cage 3/4 NEP),NA,N,NA,Jeff Lam,miR-532,Male,2011-12-07,2011-12-07,2013-06-05,78,Dead.endpoint,Healthy.miR532,Liver tumor.  Did not process further.
miR532.15,BMT2.532-OE (cage 2/4 REP),NA,R,NA,Jeff Lam,miR-532,Male,2011-12-07,2011-12-07,2012-09-05,39,Dead.sick,Sick.miR532,Separated for fighting. Found dead Sept 5 2012
miR532.16,BMT2.532-OE (cage 1/4 BEP),NA,B,NA,Jeff Lam,miR-532,Male,2011-12-07,2011-12-07,2012-08-15,36,Dead.sick,Sick.miR532,"Hunched and slow, score 3 (Aug 14 2012); upgraded to score 4 (Aug 15 2012)"
